Date,JPM Price,BAC Price,WFC Price
1/2/2019,91.72,23.65,43.15
1/3/2019,90.42,23.27,42.81
1/4/2019,93.75,24.24,44.08
1/7/2019,93.82,24.22,43.80
1/8/2019,93.64,24.17,43.70
1/9/2019,93.48,24.41,43.94
1/10/2019,93.47,24.38,43.90
1/11/2019,93.03,24.66,44.01
1/14/2019,93.99,24.99,44.51
1/15/2019,94.68,25.16,43.82
1/16/2019,95.44,26.96,44.99
1/17/2019,95.83,27.47,45.26
1/18/2019,97.39,27.76,45.98
1/22/2019,95.85,27.56,45.84
1/23/2019,95.61,27.40,46.08
1/24/2019,95.66,27.55,45.95
1/25/2019,96.27,28.03,46.09
1/28/2019,96.72,28.07,45.80
1/29/2019,96.99,27.85,45.83
1/30/2019,97.22,27.54,46.05
1/31/2019,96.37,26.98,45.37
2/1/2019,96.72,26.89,45.37
2/4/2019,97.07,27.36,45.51
2/5/2019,96.64,27.27,45.71
2/6/2019,96.59,27.22,45.66
2/7/2019,95.33,26.76,44.60
2/8/2019,94.38,26.81,44.20
2/11/2019,93.93,26.92,44.20
2/12/2019,95.53,27.18,45.50
2/13/2019,95.99,27.19,45.47
2/14/2019,95.36,26.90,45.01
2/15/2019,98.28,27.58,45.66
2/19/2019,97.93,27.60,45.81
2/20/2019,98.41,27.87,46.21
2/21/2019,98.20,27.75,45.97
2/22/2019,97.77,27.55,45.47
2/25/2019,98.79,27.73,46.07
2/26/2019,98.04,27.75,46.00
2/27/2019,97.92,27.98,46.29
2/28/2019,97.17,27.69,46.28
3/1/2019,97.24,27.91,46.41
3/4/2019,97.01,27.65,46.48
3/5/2019,96.94,27.69,46.28
3/6/2019,96.57,27.47,46.22
3/7/2019,95.88,27.19,46.09
3/8/2019,95.91,27.28,46.20
3/11/2019,97.16,27.56,46.16
3/12/2019,96.87,27.56,46.06
3/13/2019,97.20,27.89,46.31
3/14/2019,98.08,28.06,46.71
3/15/2019,99.21,27.90,47.00
3/18/2019,99.81,28.40,47.99
3/19/2019,99.44,28.24,47.69
3/20/2019,97.32,27.28,46.75
3/21/2019,95.78,26.84,46.25
3/22/2019,92.89,25.72,44.82
3/25/2019,92.11,25.56,44.60
3/26/2019,93.04,25.91,45.46
3/27/2019,92.72,25.74,45.24
3/28/2019,93.77,26.03,45.54
3/29/2019,94.26,26.28,44.82
4/1/2019,97.43,27.18,45.28
4/2/2019,97.90,27.49,44.72
4/3/2019,98.09,27.47,45.33
4/4/2019,99.04,27.76,45.61
4/5/2019,98.81,27.69,45.25
4/8/2019,99.12,27.78,45.34
4/9/2019,98.39,27.51,44.66
4/10/2019,98.83,27.68,44.33
4/11/2019,99.67,27.68,44.29
4/12/2019,104.34,28.73,43.13
4/15/2019,103.15,28.42,43.39
4/16/2019,104.24,28.46,44.20
4/17/2019,107.24,28.60,44.11
4/18/2019,106.45,28.60,44.14
4/22/2019,106.58,28.62,43.84
4/23/2019,106.72,28.64,43.92
4/24/2019,106.54,28.59,44.05
4/25/2019,106.59,28.65,44.07
4/26/2019,107.40,28.90,44.49
4/29/2019,108.95,29.30,44.78
4/30/2019,108.88,29.12,44.91
5/1/2019,108.05,28.82,44.74
5/2/2019,108.28,29.05,44.81
5/3/2019,108.95,29.25,45.13
5/6/2019,107.98,29.02,44.93
5/7/2019,106.22,28.49,43.76
5/8/2019,105.65,28.38,43.60
5/9/2019,105.57,28.29,43.78
5/10/2019,105.56,28.17,44.16
5/13/2019,102.69,26.90,43.39
5/14/2019,103.51,27.26,43.54
5/15/2019,103.11,26.94,42.93
5/16/2019,104.44,27.23,42.99
5/17/2019,103.93,27.05,42.80
5/20/2019,104.47,27.05,42.57
5/21/2019,104.83,27.32,43.39
5/22/2019,103.98,27.13,43.18
5/23/2019,101.93,26.44,42.67
5/24/2019,102.93,26.84,43.24
5/28/2019,101.82,26.57,42.70
5/29/2019,101.54,26.43,42.60
5/30/2019,100.45,25.87,42.19
5/31/2019,99.42,25.33,41.56
6/3/2019,99.88,25.41,41.70
6/4/2019,102.96,26.59,42.78
6/5/2019,103.33,26.58,42.95
6/6/2019,103.55,26.69,43.01
6/7/2019,102.42,26.36,42.74
6/10/2019,103.53,26.88,43.34
6/11/2019,103.84,27.04,43.33
6/12/2019,102.52,26.76,42.06
6/13/2019,102.77,26.75,42.42
6/14/2019,103.04,26.85,42.70
6/17/2019,102.47,26.74,42.40
6/18/2019,103.87,27.40,43.18
6/19/2019,103.12,27.12,42.76
6/20/2019,103.38,27.07,42.95
6/21/2019,102.68,26.92,43.92
6/24/2019,101.95,26.79,43.34
6/25/2019,101.10,26.58,43.22
6/26/2019,101.78,26.72,42.90
6/27/2019,102.12,27.01,43.36
6/28/2019,104.89,27.77,44.32
7/1/2019,106.66,28.17,44.67
7/2/2019,106.77,27.91,44.24
7/3/2019,106.60,27.82,44.64
7/5/2019,107.23,28.02,44.74
7/8/2019,106.65,27.96,44.52
7/9/2019,107.10,28.10,44.80
7/10/2019,106.79,27.79,44.16
7/11/2019,107.81,28.11,44.15
7/12/2019,108.94,28.20,44.36
7/15/2019,107.62,27.98,43.75
7/16/2019,108.77,27.76,42.43
7/17/2019,107.71,27.95,42.34
7/18/2019,108.35,28.23,42.92
7/19/2019,107.28,28.15,43.11
7/22/2019,107.97,28.31,43.53
7/23/2019,109.95,28.96,44.21
7/24/2019,110.39,29.37,45.38
7/25/2019,109.33,29.05,45.04
7/26/2019,109.81,29.46,46.18
7/29/2019,109.46,29.22,45.22
7/30/2019,109.22,29.58,45.47
7/31/2019,109.61,29.38,45.34
8/1/2019,106.71,28.24,44.08
8/2/2019,106.71,28.13,44.43
8/5/2019,103.53,26.89,43.22
8/6/2019,104.34,27.21,43.96
8/7/2019,102.08,26.70,42.91
8/8/2019,103.80,27.17,43.95
8/9/2019,103.69,27.13,43.85
8/12/2019,101.74,26.47,43.03
8/13/2019,103.31,26.54,43.53
8/14/2019,99.02,25.30,41.65
8/15/2019,99.40,25.13,41.09
8/16/2019,101.78,25.88,42.04
8/19/2019,102.70,26.11,42.86
8/20/2019,101.39,25.58,42.32
8/21/2019,101.68,25.79,42.62
8/22/2019,102.73,26.03,43.21
8/23/2019,100.18,25.34,42.07
8/26/2019,100.98,25.64,42.60
8/27/2019,99.91,25.34,42.39
8/28/2019,100.91,25.71,43.07
